year_of_manufacture,vehicle_type,motive_power,no_vehicles,Year,File
1901,Passenger vehicles,Petrol,5,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1902,Passenger vehicles,Petrol,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1903,Passenger vehicles,Petrol,8,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1904,Passenger vehicles,Petrol,15,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1905,Passenger vehicles,Petrol,9,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1906,Passenger vehicles,Petrol,15,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1907,Passenger vehicles,Petrol,9,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1908,Passenger vehicles,Petrol,18,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1909,Passenger vehicles,Petrol,27,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1910,Passenger vehicles,Petrol,42,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1911,Passenger vehicles,Petrol,45,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1912,Passenger vehicles,Petrol,60,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1913,Passenger vehicles,Petrol,62,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1914,Passenger vehicles,Petrol,51,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1915,Passenger vehicles,Petrol,64,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1916,Passenger vehicles,Petrol,26,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1917,Passenger vehicles,Petrol,30,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1918,Passenger vehicles,Petrol,29,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1919,Passenger vehicles,Petrol,20,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1920,Passenger vehicles,Petrol,24,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1921,Passenger vehicles,Petrol,22,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1922,Passenger vehicles,Petrol,58,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1923,Passenger vehicles,Petrol,399,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1924,Passenger vehicles,Petrol,206,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1925,Passenger vehicles,Petrol,271,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1926,Passenger vehicles,Petrol,408,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1927,Passenger vehicles,Petrol,583,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1928,Passenger vehicles,Petrol,1284,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1929,Passenger vehicles,Petrol,943,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1930,Passenger vehicles,Petrol,577,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1931,Passenger vehicles,Petrol,211,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1932,Passenger vehicles,Petrol,1006,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1933,Passenger vehicles,Petrol,318,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1934,Passenger vehicles,Petrol,1116,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1935,Passenger vehicles,Petrol,448,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1936,Passenger vehicles,Petrol,499,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1937,Passenger vehicles,Petrol,536,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1938,Passenger vehicles,Petrol,482,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1939,Passenger vehicles,Petrol,468,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1940,Passenger vehicles,Petrol,248,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1941,Passenger vehicles,Petrol,100,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1942,Passenger vehicles,Petrol,225,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1943,Passenger vehicles,Petrol,110,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1944,Passenger vehicles,Petrol,141,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1945,Passenger vehicles,Petrol,46,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1946,Passenger vehicles,Petrol,352,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1947,Passenger vehicles,Petrol,452,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1948,Passenger vehicles,Petrol,906,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1949,Passenger vehicles,Petrol,807,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1950,Passenger vehicles,Petrol,860,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1951,Passenger vehicles,Petrol,945,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1952,Passenger vehicles,Petrol,719,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1953,Passenger vehicles,Petrol,989,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1954,Passenger vehicles,Petrol,1632,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1955,Passenger vehicles,Petrol,2165,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1956,Passenger vehicles,Petrol,1829,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1957,Passenger vehicles,Petrol,2623,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1958,Passenger vehicles,Petrol,1903,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1959,Passenger vehicles,Petrol,2330,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1960,Passenger vehicles,Petrol,2451,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1961,Passenger vehicles,Petrol,2015,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1962,Passenger vehicles,Petrol,3647,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1963,Passenger vehicles,Petrol,4311,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1964,Passenger vehicles,Petrol,7109,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1965,Passenger vehicles,Petrol,6863,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1966,Passenger vehicles,Petrol,8222,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1967,Passenger vehicles,Petrol,8191,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1968,Passenger vehicles,Petrol,8777,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1969,Passenger vehicles,Petrol,9478,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1970,Passenger vehicles,Petrol,11606,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1971,Passenger vehicles,Petrol,12464,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1972,Passenger vehicles,Petrol,8033,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1973,Passenger vehicles,Petrol,8254,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1974,Passenger vehicles,Petrol,9170,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1975,Passenger vehicles,Petrol,7382,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1976,Passenger vehicles,Petrol,8159,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1977,Passenger vehicles,Petrol,7891,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1978,Passenger vehicles,Petrol,7483,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1979,Passenger vehicles,Petrol,6036,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1980,Passenger vehicles,Petrol,4528,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1981,Passenger vehicles,Petrol,4857,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1982,Passenger vehicles,Petrol,5571,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1983,Passenger vehicles,Petrol,5445,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1984,Passenger vehicles,Petrol,7716,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1985,Passenger vehicles,Petrol,9778,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1986,Passenger vehicles,Petrol,8315,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1987,Passenger vehicles,Petrol,8115,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1988,Passenger vehicles,Petrol,12015,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1989,Passenger vehicles,Petrol,17716,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1990,Passenger vehicles,Petrol,23219,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1991,Passenger vehicles,Petrol,22373,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1992,Passenger vehicles,Petrol,27219,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1993,Passenger vehicles,Petrol,35142,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1994,Passenger vehicles,Petrol,45028,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1995,Passenger vehicles,Petrol,54873,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1996,Passenger vehicles,Petrol,67289,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1997,Passenger vehicles,Petrol,97655,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1998,Passenger vehicles,Petrol,138007,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1999,Passenger vehicles,Petrol,162982,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2000,Passenger vehicles,Petrol,213902,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2001,Passenger vehicles,Petrol,247149,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2002,Passenger vehicles,Petrol,299727,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2003,Passenger vehicles,Petrol,393718,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2004,Passenger vehicles,Petrol,441650,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2005,Passenger vehicles,Petrol,505559,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2006,Passenger vehicles,Petrol,524303,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2007,Passenger vehicles,Petrol,588927,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2008,Passenger vehicles,Petrol,565213,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2009,Passenger vehicles,Petrol,531474,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2010,Passenger vehicles,Petrol,623886,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2011,Passenger vehicles,Petrol,589236,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2012,Passenger vehicles,Petrol,654178,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2013,Passenger vehicles,Petrol,696885,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2014,Passenger vehicles,Petrol,663073,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2015,Passenger vehicles,Petrol,722437,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2016,Passenger vehicles,Petrol,726731,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2017,Passenger vehicles,Petrol,739975,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2018,Passenger vehicles,Petrol,691514,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2019,Passenger vehicles,Petrol,626562,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2020,Passenger vehicles,Petrol,454458,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2021,Passenger vehicles,Petrol,11072,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
Not stated,Passenger vehicles,Petrol,4562,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1901,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1902,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1903,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1904,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1905,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1906,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1907,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1908,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1909,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1910,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1911,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1912,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1913,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1914,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1915,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1916,Passenger vehicles,Diesel,3,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1917,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1918,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1919,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1920,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1921,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1922,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1923,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1924,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1925,Passenger vehicles,Diesel,3,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1926,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1927,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1928,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1929,Passenger vehicles,Diesel,3,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1930,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1931,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1932,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1933,Passenger vehicles,Diesel,3,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1934,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1935,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1936,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1937,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1938,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1939,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1940,Passenger vehicles,Diesel,3,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1941,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1942,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1943,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1944,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1945,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1946,Passenger vehicles,Diesel,3,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1947,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1948,Passenger vehicles,Diesel,3,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1949,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1950,Passenger vehicles,Diesel,3,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1951,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1952,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1953,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1954,Passenger vehicles,Diesel,3,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1955,Passenger vehicles,Diesel,4,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1956,Passenger vehicles,Diesel,3,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1957,Passenger vehicles,Diesel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1958,Passenger vehicles,Diesel,4,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1959,Passenger vehicles,Diesel,6,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1960,Passenger vehicles,Diesel,7,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1961,Passenger vehicles,Diesel,4,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1962,Passenger vehicles,Diesel,3,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1963,Passenger vehicles,Diesel,6,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1964,Passenger vehicles,Diesel,5,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1965,Passenger vehicles,Diesel,3,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1966,Passenger vehicles,Diesel,6,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1967,Passenger vehicles,Diesel,5,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1968,Passenger vehicles,Diesel,7,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1969,Passenger vehicles,Diesel,4,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1970,Passenger vehicles,Diesel,6,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1971,Passenger vehicles,Diesel,12,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1972,Passenger vehicles,Diesel,16,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1973,Passenger vehicles,Diesel,13,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1974,Passenger vehicles,Diesel,28,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1975,Passenger vehicles,Diesel,21,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1976,Passenger vehicles,Diesel,57,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1977,Passenger vehicles,Diesel,52,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1978,Passenger vehicles,Diesel,100,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1979,Passenger vehicles,Diesel,136,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1980,Passenger vehicles,Diesel,243,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1981,Passenger vehicles,Diesel,445,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1982,Passenger vehicles,Diesel,527,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1983,Passenger vehicles,Diesel,726,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1984,Passenger vehicles,Diesel,1575,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1985,Passenger vehicles,Diesel,2137,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1986,Passenger vehicles,Diesel,1751,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1987,Passenger vehicles,Diesel,927,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1988,Passenger vehicles,Diesel,2850,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1989,Passenger vehicles,Diesel,4248,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1990,Passenger vehicles,Diesel,5436,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1991,Passenger vehicles,Diesel,6778,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1992,Passenger vehicles,Diesel,7950,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1993,Passenger vehicles,Diesel,6546,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1994,Passenger vehicles,Diesel,7192,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1995,Passenger vehicles,Diesel,7204,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1996,Passenger vehicles,Diesel,7358,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1997,Passenger vehicles,Diesel,8507,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1998,Passenger vehicles,Diesel,9909,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1999,Passenger vehicles,Diesel,10639,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2000,Passenger vehicles,Diesel,13463,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2001,Passenger vehicles,Diesel,15322,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2002,Passenger vehicles,Diesel,19209,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2003,Passenger vehicles,Diesel,23771,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2004,Passenger vehicles,Diesel,28840,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2005,Passenger vehicles,Diesel,32791,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2006,Passenger vehicles,Diesel,45564,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2007,Passenger vehicles,Diesel,59652,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2008,Passenger vehicles,Diesel,81438,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2009,Passenger vehicles,Diesel,80599,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2010,Passenger vehicles,Diesel,117330,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2011,Passenger vehicles,Diesel,124299,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2012,Passenger vehicles,Diesel,156947,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2013,Passenger vehicles,Diesel,160391,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2014,Passenger vehicles,Diesel,149537,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2015,Passenger vehicles,Diesel,160178,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2016,Passenger vehicles,Diesel,166945,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2017,Passenger vehicles,Diesel,154962,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2018,Passenger vehicles,Diesel,143892,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2019,Passenger vehicles,Diesel,114813,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2020,Passenger vehicles,Diesel,88106,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
2021,Passenger vehicles,Diesel,2226,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
Not stated,Passenger vehicles,Diesel,174,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1901,Passenger vehicles,Dual fuel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1902,Passenger vehicles,Dual fuel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1903,Passenger vehicles,Dual fuel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1904,Passenger vehicles,Dual fuel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1905,Passenger vehicles,Dual fuel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1906,Passenger vehicles,Dual fuel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1907,Passenger vehicles,Dual fuel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1908,Passenger vehicles,Dual fuel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1909,Passenger vehicles,Dual fuel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1910,Passenger vehicles,Dual fuel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1911,Passenger vehicles,Dual fuel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
1912,Passenger vehicles,Dual fuel,0,2021,rva-2021-mvs-vehtype-mtvpwr-yom-rpc.csv
